gisjoin1890	year	statename	statenum	countyname	countynum	tpop	ln_totinc_pc1970	unionstates	gini_farmsize	banks50c	banks25c	capitalstock1902	banks50c1902	banks25c1902	tval_pc	capitalstock50pc	capitalstock_pc	ln_tval_pc	ln_manuf_val_pc	ln_farmprod_val_pc	ln_livestock_val_pc	ln_farm_mach_val_pc	ln_area_imp_farm_pc	ln_area_imp_farm	ln_manuf_estb	ln_numfarms	ln_meanfarmsize	ln_liabilities	ln_capitalstock	ln_loans	ln_liabilities_pc	ln_capitalstock_pc	ln_loans_pc	ln_tpop	banks_pc	farm_yield	insample_unionrural	insample_allrural	Mexcess_capital_pc	Mopt_capital_pc
2800470.0	1890	MISSISSIPPI	280	HARRISON	470	12481	77240443	0	0.42976024746894836	0	0	0	0	0	39397083	0	0.0	36736917	33194673	24639776	25989227	0.43018186	-0.3512756	90806875	19459101	61862087	55973125							9431963	0.0	16697405	0	1	-42600000	42600000
2800470.0	1900	MISSISSIPPI	280	HARRISON	470	21002	77240443	0	0.6295227408409119	0	0	100	0	0	12284235	0	0.0	48109016	4700655	25512493	25400321	0.41516304	-0.8089205	9143453	459512	65694814	4825167							9952373	0.0	28794077	0	1	-70800000	70800000
2800490.0	1870	MISSISSIPPI	280	HINDS	490	30488	7883838	0	0.5005056262016296	0	0	0	0	0	106435844	0	0.0	46675425	2425933	45551715	3279548	15359201	16919582	12017047	40073333	7074963	5220022							103250885	0.0	17517725	0	1	-45100000	45100000
2800490.0	1880	MISSISSIPPI	280	HINDS	490	43958	7883838	0	0.5671888589859009	0	0	0	0	0	52473293	0	0.0	39603043	14971733	38712897	28233654	1333393	14349946	12125984	26390574	7702556	53632474							106909895	0.0	11430612	0	1	-57400000	57400000
2800510.0	1870	MISSISSIPPI	280	HOLMES	510	19370	7050657	0	0.5657205581665039	0	0	0	0	0	105075424	0	0.0	46546783	13447891	46174746	34452035	17770764	15762767	11447758	30445225	726403	44515586							9871481	0.0	20930304	0	1	-34200000	34200000
2800510.0	1880	MISSISSIPPI	280	HOLMES	510	27164	7050657	0	0.6307582855224609	0	0	0	0	0	66812546	0	0.0	4201891	0.67700374	41719933	31369066	16560168	20210834	12230731	31780539	79193563	5014481							10209648	0.0	8592674	0	1	-29400000	29400000
2800510.0	1890	MISSISSIPPI	280	HOLMES	510	30970	7050657	0	0.5884566903114319	0	0	0	0	0	62849823	0	0.0	4140748	0.49012196	411443	31391935	1864498	16774858	1201826	23978953	7728416	51643696							10340775	0.0	11438035	0	1	-57700000	57700000
2800510.0	1900	MISSISSIPPI	280	HOLMES	510	36828	7050657	0	0.5319193005561829	0	0	0	0	0	6908059	0	0.0	4235274	19403594	41290574	32008862	17518597	17093093	12223323	40430512	854578	427754							10514013	0.0	11243027	0	1	-40700000	40700000
2800550.0	1870	MISSISSIPPI	280	ISSAQUENA	550	57646416015625	73948975	0	0.42163271456956863	0	0	0	0	0	15760022	0	0.0	50600615	29693282	4928133	3454417	26833365	16571617	1031666	31182628	55222416	6200584							8659498	0.0	26336906	0	1	-46000000	46000000
2800550.0	1880	MISSISSIPPI	280	ISSAQUENA	550	10004	73948975	0	0.3884510397911072	0	0	0	0	0	87136246	0	0.0	4467473	-12913841	44643135	28278954	21715639	11825229	10393263	0.0	44308167	66713924							921074	0.0	26623396	0	1	-52000000	52000000
2800550.0	1890	MISSISSIPPI	280	ISSAQUENA	550	12318	73948975	0	0.6935728788375854	0	0	0	0	0	13787953	0	0.0	492638		492638	33018742	22394204	17206798	11139497		7474772	41379943							9418817	0.0	24672777	0	1	-56500000	56500000
2800550.0	1900	MISSISSIPPI	280	ISSAQUENA	550	10400	73948975	0	0.6451797485351562	0	0	0	0	0	967725	0	0.0	4572363	24403634	44461193	346944	2359447	16664723	10916034	3637586	74061036	40020227							9249561	0.0	16113329	0	1	-65800000	65800000
2800570.0	1870	MISSISSIPPI	280	ITAWAMBA	570	7812	7537798	0	0.3653550446033478	0	0	0	0	0	5503085	0	0.0	4007894		4007894	35760417	0.13766713	13422309	10305647		6802395	3759312							8963416	0.0	14377479	0	1	-43600000	43600000
2800570.0	1880	MISSISSIPPI	280	ITAWAMBA	570	10663	7537798	0	0.35689878463745117	0	0	0	0	0	4276742	0	0.0	37557766	0.954436	36931257	31250093	10188301	15731502	10847685	21972246	72477927	54975796							9274535	0.0	8330935	0	1	-56800000	56800000
